Unknown,STPIB/Import/13052008/0018/6472,RSA Tocken Security Card,USD,3350.00,3350.00,135675.00,109-21/5/08,21/05/2008,752369,14/05/2008,137045.32,,,Outright Purchase,,46024.90,Bangalore
Unknown,STPIB/Import/17082007/0070/2478,RSA Tocken Security Card,USD,3350.00,3350.00,138355.00,94 - 3/9/07,06/09/2007,532848,03/09/2007,139738.55,,,Outright Purchase,,36273.04,Bangalore
Unknown,STPIB/Import/16072010/0020/15056,Monitor with Accessories,INR,148537.00,148537.00,148537.00, 25-21-08-2010 ,21/08/2010,105224,20/08/2010,150023.00,,,Outright Purchase,,17826.00,Bangalore
Unknown,STPIB/IMP/30092003/0023/16231,Colour Monitors,USD,3375.00,3375.00,153562.50,33-2003,13/11/2003,526646,10/11/2003,155098.13,60078.00,,Outright Purchase,,60078.81,Bangalore
Unknown,STPIB/Import/13032010/0002/44719,Laptop with Acces E6500n,INR,156730.00,156730.00,158297.00,4 -12.04.2010,15/04/2010,101961,09/04/2010,158297.00,,,Outright Purchase,,12915.00,Bangalore
Unknown,STPIB/Import/17102005/0057/27451,Networking Accessories,USD,3615.00,3615.00,163759.50,64/2005,13/12/2005,924196,03/11/2005,165397.00,,,Outright Purchase,,35249.00,Bangalore
Unknown,STPIB/Import,IP Desktop phone with Accessproes,USD,,,173865.00,117/12/06/08,12/06/2008,407,08/08/2008,175604.00,,,Outright Purchase,,34149.00,Bangalore
Unknown,STPIB/Import/22012010/0014/38333,Monitor with Accessories,INR,177615.00,177615.00,177615.00, 44-09/02/2010 ,09/02/2010,100639,02/02/2010,170783.52,,,Outright Purchase,,19008.00,Bangalore
Unknown,STPIB/IMP/29102004/0143/26670,HardWare Parts,USD,3900.00,3900.00,178815.00,47/2004,25/11/2004,720252,23/11/2004,180603.00,50482.00,,Outright Purchase,,50482.19,Bangalore
Unknown,IMP/2001112601/13933,Multimedia Projector,USD,219420.00,183645.00,183645.00,15-2001,19/12/2001,1315,19/12/2001,185481.00,116601.00,,Outright Purchase,,116601.00,Bangalore
Unknown,STPIB/Import/25082010/0047/20939,Laptop with Accessories (E6410 Base),INR,185712.00,185712.00,185712.00, 27-27-09-2010 ,27/09/2010,105973,16/09/2010,185711.00,,,Outright Purchase,,17598.00,Bangalore
Unknown,STPIB/Import/21102011/0102/27642  Dt.21-10-2011,Laptop With Accessories,USD,3718.00,3718.00,184412.80,22/11-12,09/11/2011,4996018,22/10/2011,186256.93,,,Outright Purchase,,27402.00,Bangalore
Unknown,STPIB/Import/18032010/0041/45161,Sound Station ,USD,4087.00,4087.00,187593.30, 2 - 12 -04-2010 ,15/04/2010,382391,09/04/2010,187593.30,,,Outright Purchase,,32681.00,Bangalore
Unknown,STPIB/Import/30122009/0146/35159,Server with Accessories,USD,4000.00,4000.00,188800.00, 40-25/01/2010 ,25/01/2010,316200,20/01/2010,190706.88,,,Outright Purchase,,7285.16,Bangalore
Unknown,STPIB/Import/06052009/0053/3952,Server - Optical drive with Accessories,USD,4000.00,4000.00,192800.00,09-26/01/2009,26/01/2009,95585,22/01/2009,194728.00,,,Outright Purchase,,46023.00,Bangalore
Unknown,STPIB/Import/06052009/0054/3953,Server - Mount Server - 2950MLK,USD,4307.00,4307.00,207597.00,09-26/01/2009,26/01/2009,95585,22/01/2009,209673.37,,,Outright Purchase,,50832.00,Bangalore
Unknown,IMP/2001/100803/10939,Fax Machines & Courier Machines,USD,207702.00,207702.00,207702.00,06-2001,02/10/2001,44321,09/10/2001,209779.00,81260.00,,Outright Purchase,,81260.00,Bangalore
Unknown,STPIB/IMP/16092004/0184/20978,Computer Hardware with accessories,USD,4850.00,4850.00,225525.00,44-2004,14/10/2004,689700,29/09/2004,227780.25,23643.00,,Outright Purchase,,23642.50,Bangalore
Unknown,IMP/2002030701/20388,"Samsung 19"" Dynaflat Monitors",USD,4680.00,4680.00,228852.00,19-2002,22/04/2002,309312,16/04/2002,231140.00,89534.00,,Outright Purchase,,89534.60,Bangalore
Unknown,STPIB/Import/25012010/0037/38724,Laptop with Accessories,INR,235095.00,235095.00,235095.00, 43-04/02/2010 ,04/02/2010,100654,03/02/2010,235095.00,,,Outright Purchase,,15497.00,Bangalore
Unknown,STPIB/Import/02012008/0042/46429,Server with Accessories AW- 390n,USD,5920.00,5920.00,235320.00,103 -17/1/08,17/01/2008,638469,05/01/2008,237673.20,,,Outright Purchase,,29376.41,Bangalore
Unknown,STPIB/Import/23042010/0032/2970,Networking equipment,USD,5264.00,5264.00,241617.60, 10 - 29.04.2010 ,30/04/2010,396238,27/04/2010,241617.60,,,Outright Purchase,,36687.00,Bangalore
